jour;type;phase;semaine;titre;blocs;secondaire;plein_15_min;test;challenge
"1";"onboarding";"Démarrage";"0";"ENTRÉE DANS LE CAMP";"";"";"non";"";""
"2";"test";"Tests initiaux";"0";"TEST LEGS";"";"";"non";"legs";""
"3";"test";"Tests initiaux";"0";"TEST PUSH";"";"";"non";"push";""
"4";"test";"Tests initiaux";"0";"TEST PULL";"";"";"non";"pull";""
"5";"test";"Tests initiaux";"0";"TEST CORE";"";"";"non";"core";""
"6";"test";"Tests initiaux";"0";"TEST CARDIO";"";"";"non";"cardio";""
"7";"regular";"Phase I";"1";"LEGS + CORE";"LEGS — Squat · ÉCHEC · BASE";"core";"non";"";""
"8";"regular";"Phase I";"1";"PUSH + CARDIO";"PUSH — Pompes · ÉCHEC · BASE";"cardio";"non";"";""
"9";"regular";"Phase I";"1";"PULL + CORE";"PULL · ÉCHEC · BASE";"core";"non";"";""
"10";"regular";"Phase I";"1";"ARMS + CARDIO";"ARMS · 2 séries / muscle";"cardio + KB";"non";"";""
"11";"regular";"Phase I";"1";"QUADRICEPS + ISCHIOS + CORE";"QUADRICEPS / ISCHIOS · 2 séries / muscle";"core";"non";"";""
"12";"regular";"Phase I";"1";"PUSH + PULL";"PUSH — Dips · ÉCHEC · BASE | PULL · ÉCHEC · BASE";"";"oui";"";""
"13";"challenge";"Phase I";"1";"CHALLENGE DAY — BURN & RUSH";"";"";"non";"";"burn-rush"
"14";"regular";"Phase I";"2";"LEGS + CORE";"LEGS — Chaîne postérieure · ÉCHEC · VOLUME";"core";"non";"";""
"15";"regular";"Phase I";"2";"PUSH + CARDIO";"PUSH — Angles · ÉCHEC · VOLUME";"cardio";"non";"";""
"16";"regular";"Phase I";"2";"PULL + CORE";"PULL · ÉCHEC · VOLUME";"core";"non";"";""
"17";"regular";"Phase I";"2";"ARMS + CARDIO";"ARMS · 3 séries / muscle";"cardio + KB";"non";"";""
"18";"regular";"Phase I";"2";"QUADRICEPS + ISCHIOS + CORE";"QUADRICEPS / ISCHIOS · 3 séries / muscle";"core";"non";"";""
