id;nom;categorie;unilateral;materiel;loop;frame;vimeo
air_squat_heels;Air Squat talons surélevés;LEGS;non;Aucun;./assets/media/loops/air_squat_heels.mp4;./assets/media/frames/air_squat_heels.webp;
kb_squat_heels;KB Squat talons surélevés;LEGS;non;Kettlebell;./assets/media/loops/kb_squat_heels.mp4;./assets/media/frames/kb_squat_heels.webp;
bulgarian_bw;Bulgarian Split Squat BW — version quadriceps;LEGS;oui;Aucun;./assets/media/loops/bulgarian_bw.mp4;./assets/media/frames/bulgarian_bw.webp;
bulgarian_kb;Bulgarian Split Squat + KB — version quadriceps;LEGS;oui;Kettlebell;./assets/media/loops/bulgarian_kb.mp4;./assets/media/frames/bulgarian_kb.webp;
levitation_bw;Levitation Squat BW — talon surélevé;LEGS;oui;Aucun;./assets/media/loops/levitation_bw.mp4;./assets/media/frames/levitation_bw.webp;
pistol_bw;Pistol Squat BW — talon surélevé;LEGS;oui;Aucun;./assets/media/loops/pistol_bw.mp4;./assets/media/frames/pistol_bw.webp;
levitation_kb;Levitation Squat + KB — talon surélevé;LEGS;oui;Kettlebell;./assets/media/loops/levitation_kb.mp4;./assets/media/frames/levitation_kb.webp;
pistol_kb;Pistol Squat + KB — talon surélevé;LEGS;oui;Kettlebell;./assets/media/loops/pistol_kb.mp4;./assets/media/frames/pistol_kb.webp;
wall_sit;Chaise dos au mur / Wall Sit;LEGS;non;Aucun;./assets/media/loops/wall_sit.mp4;./assets/media/frames/wall_sit.webp;
kb_deadlift;KB Deadlift;LEGS;non;Kettlebell;./assets/media/loops/kb_deadlift.mp4;./assets/media/frames/kb_deadlift.webp;
kb_rdl;KB Romanian Deadlift bilatéral;LEGS;non;Kettlebell;./assets/media/loops/kb_rdl.mp4;./assets/media/frames/kb_rdl.webp;
kb_rdl_bstance;KB Romanian Deadlift B-stance;LEGS;oui;Kettlebell;./assets/media/loops/kb_rdl_bstance.mp4;./assets/media/frames/kb_rdl_bstance.webp;
kb_rdl_single;Single-Leg KB Romanian Deadlift;LEGS;oui;Kettlebell;./assets/media/loops/kb_rdl_single.mp4;./assets/media/frames/kb_rdl_single.webp;
reverse_lunge;Fentes arrière alternées;LEGS;oui;Aucun;./assets/media/loops/reverse_lunge.mp4;./assets/media/frames/reverse_lunge.webp;
jump_lunge_center;Fentes sautées avec réception centrale;LEGS;oui;Aucun;./assets/media/loops/jump_lunge_center.mp4;./assets/media/frames/jump_lunge_center.webp;
jump_lunge_direct;Fentes sautées directes alternées;LEGS;oui;Aucun;./assets/media/loops/jump_lunge_direct.mp4;./assets/media/frames/jump_lunge_direct.webp;
reverse_lunge_kb;Fentes arrière alternées + KB;LEGS;oui;Kettlebell;./assets/media/loops/reverse_lunge_kb.mp4;./assets/media/frames/reverse_lunge_kb.webp;
jump_lunge_center_kb;Fentes sautées avec réception centrale + KB;LEGS;oui;Kettlebell;./assets/media/loops/jump_lunge_center_kb.mp4;./assets/media/frames/jump_lunge_center_kb.webp;
